customer_id,customer_name,industry,account_manager,subscription_start_date,subscription_end_date,subscription_status,plan_type,monthly_fee,user_count,last_login_date,monthly_active_users,feature_usage_score,retention_rate_6m,retention_rate_12m,churn_risk_score,last_success_touch_date,notes
TAUPRIME-BSC_041,TauPrime Solo,Testing,,28-08-2023,01-06-2024,expired,Basic,19.99,1,01-06-2024,0,0,0,,1,01-06-2024,"Minimal engagement, solo operator, account expired due to inactivity."
UPSILONPRIME-ENT_042,UpsilonPrime Aerospace,Aerospace,p.reed,19-11-2021,,active,Enterprise,3200,410,13-06-2024,401,98.5,98.1,97.6,0.02,12-06-2024,"High engagement, custom integrations, quarterly business review."
PHIPRIME-PRO_043,PhiPrime Healthcare,Healthcare,k.sanders,14-10-2022,,active,Pro,599,55,10-06-2024,52,88.4,90.7,88.2,0.09,09-06-2024,"High engagement, compliance integrations enabled."
CHIPRIME-BSC_044,ChiPrime Agriculture,Agriculture,,17-12-2023,,active,Basic,21.99,2,08-06-2024,1,15,,,0.47,04-06-2024,"Low engagement, price sensitive, evaluating alternatives."
PSIPRIME-TRIAL_045,PsiPrime Consulting,Professional Services,v.ross,23-05-2024,,trial,Pro,0,10,13-06-2024,7,33.2,,,0.74,11-06-2024,"Pilot, initial engagement positive, integration planned."
OMEGAPRIME-ENT_046,OmegaPrime Manufacturing,Manufacturing,g.murray,21-02-2022,,active,Enterprise,2300,210,12-06-2024,205,91.6,92.9,92.3,0.05,10-06-2024,"High engagement, custom reporting enabled."
ALPHA2-BSC_047,Alpha2 Retail Partners,Retail,,03-12-2023,,active,Basic,31,3,09-06-2024,2,26.3,,,0.53,07-06-2024,"Minimal engagement, solo operator, evaluating platform."
BETA2-PRO_048,Beta2 Financial Group,Finance,h.foster,24-08-2023,,active,Pro,428,37,12-06-2024,34,76.8,81.9,,0.28,09-06-2024,"Moderate engagement, renewal approaching."
GAMMA2-ENT_049,Gamma2 Technologies,Technology,a.wright,19-08-2022,,active,Enterprise,1360,102,13-06-2024,97,83.6,93.1,92.2,0.13,12-06-2024,"High engagement, custom integrations deployed."
DELTA2-PRO_050,Delta2 Health Network,Healthcare,c.wilson,13-09-2023,,active,Pro,418.99,41,11-06-2024,39,82.5,83.1,,0.26,08-06-2024,"Moderate engagement, compliance training scheduled."
NOVA-ENT_2024A1,Nova Industrial Solutions,Manufacturing,s.walters,15-03-2022,,active,Enterprise,1432,221,30-05-2024,205,95.4,99,97.2,0.06,29-05-2024,Annual review completed; advanced reporting enabled for plant analytics.
GLOBE-PRO_5321,Globe Finance Group,Finance,d.thompson,20-02-2023,,active,Pro,547.5,43,27-05-2024,37,78.1,91.8,,0.21,26-05-2024,Considering upgrade to Enterprise; frequent campaign spikes observed.
ALPHA_AGR-1009,Alpha Agricultural Holdings,Agriculture,,12-01-2024,,active,Basic,35.99,4,28-05-2024,3,42,,,0.39,27-05-2024,Minimal engagement; price sensitive. Solo operator added new field manager.
TITAN-TRIAL_9987,Titan Testing Systems,Testing,b.mcintosh,02-05-2024,,trial,Pro,0,15,30-05-2024,12,27.6,,,0.54,,Pilot project for regional expansion; integration delayed by API changes.
SUNRISE-PRO_7712,Sunrise Media Agency,Media,r.garcia,10-09-2023,,active,Pro,389,38,29-05-2024,32,83.2,87.6,,0.29,29-05-2024,Moderate engagement; considering upgrades. Noted seasonal campaign spikes.
SKY-ENT_3978,Sky Energy Partners,Energy,k.murphy,01-12-2021,,active,Enterprise,2560,312,30-05-2024,305,99.1,99.8,98.6,0.04,30-05-2024,Custom integrations for compliance; annual review completed successfully.
VECTOR-BASIC_1132,Vector Veterinary Clinic,Veterinary,,19-11-2023,,active,Basic,48,6,28-05-2024,4,39.7,,,0.47,29-05-2024,Minimal engagement noted; mostly billing and scheduling usage.
QUANTUM-ENT_7825,Quantum Aerospace Systems,Aerospace,h.chan,17-07-2022,,active,Enterprise,3890,701,30-05-2024,690,96.8,97.4,95.5,0.09,28-05-2024,High engagement; custom dashboard deployed for flight data analytics.
EVOLVE-PRO_4711,Evolve Construction LLC,Construction,t.evans,24-05-2023,,active,Pro,426,47,29-05-2024,44,72.3,89.2,,0.23,27-05-2024,Frequent usage of project management features; upgrade path under review.
MIRAGE-TRIAL_3019,Mirage Retail Labs,Retail,edge_case_mgr,10-05-2024,,trial,Basic,0,3,29-05-2024,2,18.9,,,0.59,,Early adopter; pilot for multi-store integration. Feedback pending.
ZENITH-ENT_4322,Zenith Education Group,Education,j.adams,26-01-2022,,active,Enterprise,1750,195,30-05-2024,182,85.5,93.1,91.7,0.13,29-05-2024,High engagement; annual curriculum review in progress.
PLATINUM-PRO_7508,Platinum Advertising Inc,Advertising,b.smith,05-03-2023,19-04-2024,cancelled,Pro,398.5,28,19-04-2024,0,0,20.5,,0.96,19-04-2024,Account closed due to merger; minimal engagement in final quarter.
VANGUARD-ENT_2207,Vanguard Healthcare Ltd,Healthcare,l.yu,08-06-2023,,active,Enterprise,1189,140,29-05-2024,122,88.7,94.3,,0.1,28-05-2024,Annual compliance review completed. High feature utilization.
FUSION-BASIC_6191,Fusion Retail Partners,Retail,,25-11-2022,22-03-2024,expired,Basic,24.99,3,22-03-2024,0,0,0,0,0.92,22-03-2024,Account expired; price increase cited as reason for exit.
SUMMIT-PRO_4231,Summit Transportation,Transportation,c.franklin,14-07-2023,,active,Pro,352,41,28-05-2024,36,68.9,81.2,,0.32,27-05-2024,Engagement increasing; new features trialed for route planning.
ORBIT-ENT_8491,Orbit Technology Group,Technology,v.martinez,11-02-2022,,active,Enterprise,2750,563,30-05-2024,558,99.9,98.2,97.8,0.02,28-05-2024,Advanced reporting enabled; high engagement across all divisions.
SOLID-BASIC_3352,Solid Construction Depot,Construction,,02-08-2023,05-03-2024,cancelled,Basic,41,7,05-03-2024,0,0,12,,0.98,05-03-2024,Minimal engagement. Account cancelled after project completion.
PIVOT-TRIAL_2328,Pivot Professional Services,Professional Services,m.owens,13-05-2024,,trial,Pro,0,19,30-05-2024,13,33.3,,,0.67,,Demo deployment; feedback on scheduling module awaited.
OMEGA-ENT_5964,Omega Manufacturing Inc,Manufacturing,f.baker,13-08-2021,,active,Enterprise,1980,171,30-05-2024,163,92.7,95.2,93.8,0.11,29-05-2024,Advanced analytics rollout completed; review scheduled for Q3.
CROWN-PRO_6614,Crown Healthcare Services,Healthcare,d.harris,06-10-2023,,active,Pro,374,33,29-05-2024,28,70.6,83.5,,0.28,28-05-2024,Engagement steady; billing module frequently accessed.
TRAILBLAZER-BASIC_4920,Trailblazer Retail Center,Retail,,18-02-2023,28-02-2024,expired,Basic,22.99,2,28-02-2024,0,0,0,0,0.94,28-02-2024,Account expired; no usage in last three months.
STRATUS-ENT_8704,Stratus Aerospace LLC,Aerospace,g.hernandez,23-05-2022,,active,Enterprise,3155,532,30-05-2024,528,97.7,96.7,94.8,0.08,30-05-2024,Annual review complete; custom integrations for flight analytics.
PULSE-PRO_7719,Pulse Transportation Ltd,Transportation,j.wilson,16-08-2022,,active,Pro,515,55,30-05-2024,52,86.1,95.4,91.9,0.18,29-05-2024,High engagement; tracking and route optimization features heavily used.
EVEREST-TRIAL_1147,Everest Veterinary Group,Veterinary,l.fernandez,18-05-2024,,trial,Basic,0,2,29-05-2024,1,13.7,,,0.43,,Demo account; initial feedback on scheduling module received.
ECLIPSE-BASIC_8472,Eclipse Media Labs,Media,,21-10-2023,16-05-2024,cancelled,Basic,47,9,16-05-2024,0,0,8.9,,0.97,16-05-2024,Minimal engagement; account cancelled after content migration.
SOLARIS-ENT_5005,Solaris Energy Solutions,Energy,l.chan,08-09-2022,,active,Enterprise,1725,109,29-05-2024,101,82.3,90.9,88,0.15,28-05-2024,Compliant with new energy regulations; high dashboard usage.
HORIZON-PRO_8416,Horizon Finance Solutions,Finance,a.james,07-11-2023,,active,Pro,402,35,29-05-2024,30,65.8,,,0.34,29-05-2024,Moderate engagement; reporting module used for quarterly audits.
CASCADE-BASIC_3957,Cascade Agriculture Co,Agriculture,,14-10-2022,30-03-2024,expired,Basic,19.99,2,30-03-2024,0,0,0,0,0.93,30-03-2024,Account expired; no engagement after first quarter.
AXIS-TRIAL_2073,Axis Manufacturing Partners,Manufacturing,j.hart,08-05-2024,,trial,Enterprise,0,22,29-05-2024,16,38.4,,,0.62,,Pilot for production line analytics; feedback scheduled for next month.
VISTA-PRO_9651,Vista Professional Group,Professional Services,m.wong,13-06-2023,,active,Pro,326,31,29-05-2024,28,68.5,79.2,,0.34,28-05-2024,Steady engagement; considering additional modules for automation.
PINNACLE-ENT_9003,Pinnacle Manufacturing Ltd,Manufacturing,v.lee,27-03-2022,,active,Enterprise,2110,311,30-05-2024,297,91.9,96.2,94.2,0.12,29-05-2024,Annual review; custom integration for supply chain tracking underway.
UNITY-PRO_4816,Unity Education Services,Education,c.kim,11-01-2023,,active,Pro,410,44,29-05-2024,41,92.1,95.8,,0.17,29-05-2024,High engagement; reporting and dashboard modules used daily.
INNOVATE-BASIC_2894,Innovate Advertising Group,Advertising,,12-09-2023,30-04-2024,expired,Basic,38.99,8,30-04-2024,0,0,9.6,,0.95,30-04-2024,Account expired; low engagement cited in exit survey.
GENESIS-ENT_1389,Genesis Technology Advisors,Technology,s.taylor,30-11-2021,,active,Enterprise,2585,494,30-05-2024,484,95.2,98.7,96.3,0.06,29-05-2024,Custom integrations for AI workflow; annual review scheduled.
ELEVATE-PRO_5238,Elevate Construction Group,Construction,d.reed,18-12-2022,,active,Pro,558,54,30-05-2024,48,87.3,94,89.3,0.19,29-05-2024,Engagement high; dashboard and analytics modules used for project tracking.
FALCON-TRIAL_1596,Falcon Testing Labs,Testing,t.hall,12-05-2024,,trial,Pro,0,12,29-05-2024,10,29.9,,,0.57,,Demo deployment; feedback on reporting module awaited.
SYNERGY-BASIC_9521,Synergy Media Solutions,Media,,23-08-2023,21-02-2024,expired,Basic,44,10,21-02-2024,0,0,5.7,,0.97,21-02-2024,Account expired; minimal engagement after first six months.
VECTOR-ENT_6208,Vector Aerospace Ltd,Aerospace,m.clark,05-04-2022,,active,Enterprise,2185,247,30-05-2024,239,92.8,95,93,0.12,28-05-2024,High engagement; advanced reporting for flight safety analytics.
FORWARD-PRO_7512,Forward Transportation Group,Transportation,n.lewis,21-06-2022,,active,Pro,362,39,30-05-2024,37,66.7,80.9,75.1,0.37,29-05-2024,Steady engagement; new route optimization feature trialed.
ENCOMPASS-ENT_4084,Encompass Healthcare,Healthcare,w.turner,17-06-2021,,active,Enterprise,1375,127,30-05-2024,119,89.6,92.8,91.8,0.13,29-05-2024,Compliance review complete; dashboard module upgraded for efficiency.
BENCHMARK-BASIC_7592,Benchmark Retail Group,Retail,,24-02-2023,01-03-2024,cancelled,Basic,31.99,5,01-03-2024,0,0,14.3,,0.99,01-03-2024,Minimal engagement; account cancelled after price increase.
OMNI-PRO_3501,Omni Professional Advisors,Professional Services,s.lawrence,19-05-2023,,active,Pro,385,29,29-05-2024,25,73.9,85.7,,0.27,27-05-2024,Engagement moderate; campaign module adopted by most users.
SPECTRUM-ENT_7213,Spectrum Energy Partners,Energy,a.brown,09-11-2022,,active,Enterprise,1645,121,29-05-2024,115,85.7,90.3,88.2,0.15,28-05-2024,High dashboard usage; compliance review scheduled for next quarter.
FOCUS-PRO_6908,Focus Finance LLC,Finance,m.dixon,24-07-2022,,active,Pro,547,51,30-05-2024,48,89.2,97.1,95,0.09,29-05-2024,Reporting module adopted for monthly audits; engagement high.
ASCEND-BASIC_5405,Ascend Veterinary Clinic,Veterinary,,18-02-2023,12-04-2024,cancelled,Basic,26.99,3,12-04-2024,0,0,6.8,,0.96,12-04-2024,Account cancelled after initial trial; minimal engagement recorded.
PIONEER-ENT_8046,Pioneer Education Group,Education,e.evans,15-10-2022,,active,Enterprise,1480,105,30-05-2024,97,80.2,90,86.7,0.18,30-05-2024,Curriculum review completed; new dashboard module requested.
MARATHON-PRO_5739,Marathon Construction,Construction,q.morris,28-05-2022,,active,Pro,489,49,29-05-2024,45,85.1,93.8,90.2,0.14,28-05-2024,High engagement; analytics module drives project efficiency.
INFRA-ENT_3025,Infrastructure Dynamics Ltd,Construction,t.burke,16-04-2022,,active,Enterprise,2575,312,18-05-2024,291,93.2,98.5,97.1,0.06,20-05-2024,"Quarterly review completed. Custom dashboard in use, high engagement."
PROF-SRV_0495,Professional Services Group,Professional Services,m.hall,11-08-2023,,active,Pro,529,48,17-05-2024,41,72.4,91.3,,0.18,19-05-2024,Users responded positively to new workflow automation feature.
MEDTECH-PR_1207,MedTech Progress Inc,Healthcare,r.yu,04-02-2023,,active,Pro,370,27,14-05-2024,22,75.7,88.9,,0.22,18-05-2024,Feature rollout scheduled next quarter. Training support requested.
AGRI-BSC_8712,Greenfield Agritech,Agriculture,,01-03-2024,,active,Basic,35.99,5,20-05-2024,3,44.3,,,0.46,17-05-2024,Solo operator. Basic plan fits needs. No upgrade interest.
RETAIL-CNL_1098,Omni Retail Partners,Retail,a.singh,21-06-2023,05-05-2024,expired,Basic,21.99,2,05-05-2024,0,0,40.2,29.9,0.96,05-05-2024,Account expired after a period of inactivity. No renewal planned.
FIN-ENT_8113,FinVest Group Holdings,Finance,d.wright,09-10-2022,,active,Enterprise,3120,425,18-05-2024,396,95.6,99.2,98.4,0.03,19-05-2024,Integration with legacy systems successful. High user satisfaction.
EDU-PR_6210,BrightPath Education,Education,s.kim,29-03-2023,,active,Pro,399,34,16-05-2024,27,70.4,79.7,,0.35,18-05-2024,Mid-year onboarding. Request for parent portal features.
LOG-ENT_5521,Global Logistics Solutions,Transportation,j.martinez,23-07-2022,,active,Enterprise,4100,530,18-05-2024,514,97.8,99.5,99.1,0.02,19-05-2024,Major account. Custom API integration ongoing.
TESTLAB-PR_3387,TestLab Analytics,Testing,p.frost,22-11-2023,,trial,Pro,0,8,19-05-2024,7,62.7,,,0.47,19-05-2024,Pilot phase. Awaiting feedback on feature set.
ENERGY-ENT_6244,EnergyNext Consortium,Energy,v.hernandez,13-06-2022,,active,Enterprise,2950,367,17-05-2024,331,89.1,97.2,96.3,0.08,18-05-2024,Annual contract renewed. High feature adoption.
VET-BSC_4017,Healthy Paws Veterinary,Veterinary,,27-03-2024,,active,Basic,27.99,2,20-05-2024,2,51.1,,,0.39,17-05-2024,Solo operator. Using appointment scheduling module.
AERO-ENT_7850,AeroSpace Technologies,Aerospace,c.mendez,15-12-2022,,active,Enterprise,4720,811,18-05-2024,793,98.9,99.7,98.8,0.03,19-05-2024,High engagement. Data analytics features heavily used.
AD-PR_2391,AdVision Agency,Advertising,e.keller,04-09-2023,,active,Pro,484,53,18-05-2024,50,83.3,93.8,,0.15,19-05-2024,Seasonal campaign spikes. Considering Enterprise upgrade.
MFG-ENT_6089,Manufacture Direct,Manufacturing,f.wong,28-09-2022,,active,Enterprise,3890,405,17-05-2024,393,91.7,97.6,97.1,0.07,18-05-2024,Annual review completed. Expansion planned in next fiscal.
BIO-TRIAL_1045,BioGenix Solutions,Biotechnology,j.davies,07-04-2024,,trial,Basic,0,6,18-05-2024,2,21.9,,,0.52,,Demo in progress. Integration delays reported by client.
AUTO-EXP_4321,AutoExpert Mechanics,Automotive,r.james,09-05-2023,30-04-2024,cancelled,Pro,312,29,30-04-2024,0,0,54.8,23.6,0.99,30-04-2024,Account cancelled due to business restructuring.
MEDIA-PR_5183,MediaStream Partners,Media,l.hart,02-10-2023,,active,Pro,412,38,18-05-2024,30,73.5,81.6,,0.27,18-05-2024,Content scheduling module highly used last month.
RESEARCH-TR_6812,Research Innovations Co,Research,m.jordan,10-04-2024,,trial,Pro,0,13,19-05-2024,7,39.7,,,0.58,18-05-2024,Trial phase. Early feedback on analytics received.
SOLO-BSC_8372,Solo Consulting LLC,Consulting,,14-01-2024,,active,Basic,19.99,1,20-05-2024,1,34.8,,,0.41,17-05-2024,Minimal engagement. No interest in advanced modules.
GOV-ENT_2921,CityGov Solutions,Government,g.nguyen,28-06-2022,,active,Enterprise,2180,190,17-05-2024,172,84.2,95.1,94.3,0.09,18-05-2024,Account stable. Custom reporting module in high use.
FOOD-PR_3024,FoodChain Suppliers,Food & Beverage,b.lowe,05-11-2023,,active,Pro,355,29,19-05-2024,22,67.6,78.4,,0.38,18-05-2024,Onboarding new staff. Usage trending upward.
PHARMA-ENT_1907,PharmaGlobal Ltd,Pharmaceutical,z.jenkins,22-08-2022,,active,Enterprise,3345,321,16-05-2024,299,88.5,96.8,95.6,0.11,17-05-2024,Compliance features fully adopted. Expansion planned.
VEND-BSC_5608,VendorConnect,Wholesale,,31-12-2023,,active,Basic,23.99,3,20-05-2024,2,40.2,,,0.44,17-05-2024,Low engagement. Uses only order tracking module.
TECH-PR_2871,TechBridge IT,Technology,s.holt,13-07-2023,,active,Pro,392,41,18-05-2024,39,75.1,89.7,,0.21,18-05-2024,Frequent support tickets. Considering Enterprise upgrade.
CONSULT-TR_1158,ConsultX Solutions,Consulting,d.lewis,01-05-2024,,trial,Pro,0,15,19-05-2024,10,33.4,,,0.57,17-05-2024,Trial underway. First feedback expected soon.
TRAN-ENT_7159,TransGlobal Freight,Transportation,p.chan,16-01-2023,,active,Enterprise,2260,111,18-05-2024,99,82.7,90.6,,0.13,18-05-2024,Planning for user expansion. Stable engagement metrics.
RENEW-EXP_9842,Renewable Resource Group,Energy,c.rivers,19-05-2022,28-04-2024,expired,Pro,415,39,28-04-2024,0,0,62.3,44.7,0.97,28-04-2024,Account expired after merger. No renewal planned.
FOCUS-PAU_3569,Focus Testing Labs,Testing,edge_mgr,10-02-2023,25-04-2024,paused,Pro,330,31,25-04-2024,0,0,54.2,28.9,0.98,25-04-2024,Paused due to business model change. Awaiting next steps.
MKT-BSC_9804,MarketPulse Insights,Marketing,,26-02-2024,,active,Basic,41.99,7,20-05-2024,5,54.6,,,0.33,17-05-2024,Recent onboarding. Using reporting feature daily.
SCI-TRIAL_7923,SciencePath Labs,Research,v.patel,03-04-2024,,trial,Basic,0,5,19-05-2024,3,24.7,,,0.63,,Early adopter. Testing collaboration module.
CONS-PR_9941,Consortium Consulting,Consulting,a.morris,11-05-2023,,active,Pro,458,52,18-05-2024,46,88.2,92.1,,0.09,19-05-2024,High engagement. Advanced analytics in daily use.
HUMAN-PR_1111,Human Capital Advisors,Human Resources,c.stevens,17-02-2023,,active,Pro,343,28,16-05-2024,22,73.7,81.3,,0.23,17-05-2024,Engagement steady. Request for onboarding automation.
BIO-ENT_1709,BioCore Technologies,Biotechnology,f.alvarez,19-11-2022,,active,Enterprise,2155,162,17-05-2024,146,87.4,94.6,93.3,0.14,18-05-2024,Annual review. High adoption of new compliance module.
TEST-BSC_3220,TestMarket Solutions,Testing,,22-12-2023,,active,Basic,32.99,4,20-05-2024,3,50.5,,,0.36,19-05-2024,Limited engagement. Feature requests pending.
RENEW-TR_4587,Renewal Partners LLC,Energy,s.peters,09-05-2024,,trial,Pro,0,14,19-05-2024,9,36.2,,,0.53,18-05-2024,Trial underway. Awaiting performance feedback.
AD-BSC_8903,AdMix Media,Advertising,,13-03-2024,,active,Basic,29.99,2,20-05-2024,2,47.5,,,0.42,19-05-2024,Basic plan. Moderate engagement with reporting.
LAB-TRIAL_6724,LabConnect Systems,Healthcare,q.chan,16-04-2024,,trial,Pro,0,10,19-05-2024,7,48.1,,,0.41,19-05-2024,Trial phase. Healthcare integration tests ongoing.
EDU-BSC_9002,EduConnect Services,Education,,10-02-2024,,active,Basic,39.99,6,20-05-2024,5,59.7,,,0.32,17-05-2024,Using scheduling module. No advanced features enabled.
